Population_Cluster_Index,Total_Population,Elderly_Rate,Latitude,Longitude
155,3009,0.092,39.286901,-76.571565
156,4754,0.136,39.353826,-76.573062
157,3022,0.144,39.277322,-76.570931
158,4043,0.157,39.346162,-76.592228
159,4992,0.087,39.365962,-76.585556
160,4795,0.147,39.281543,-76.529788
161,4930,0.054,39.234788,-76.597326
162,3175,0.161,39.348891,-76.676232
163,5116,0.078,39.329034,-76.541647
164,3230,0.138,39.311311,-76.550092
165,2791,0.154,39.371416,-76.633667
166,1953,0.052,39.278521,-76.614507
167,3881,0.08,39.333478,-76.575456
168,1800,0.062,39.291925,-76.583983
169,2853,0.048,39.304614,-76.627133
170,2388,0.156,39.303114,-76.636677
171,2515,0.087,39.29416,-76.639374
172,1996,0.058,39.298886,-76.529779
173,2478,0.123,39.303619,-76.652742
174,2699,0.1,39.303162,-76.645395
175,5615,0.113,39.30482,-76.660818
176,5937,0.069,39.321961,-76.549036
177,3730,0.145,39.353304,-76.629164
178,985,0.264,39.345223,-76.64753
179,2333,0.103,39.307761,-76.630995
180,2011,0.165,39.295965,-76.626986
181,2937,0.206,39.302609,-76.576205
182,5237,0.008,39.297908,-76.606767
183,4875,0.15,39.296786,-76.52953
184,1558,0.258,39.293956,-76.644119
185,2011,0.093,39.326851,-76.64021
186,3509,0.153,39.293259,-76.661351
187,4523,0.112,39.346072,-76.659557
188,5648,0.209,39.355053,-76.660352
189,4546,0.114,39.340665,-76.672562
190,3373,0.094,39.269627,-76.633932
191,856,0.451,39.352331,-76.643098
192,1183,0.197,39.296233,-76.587708
193,4125,0.075,39.257655,-76.632809
194,1241,0.157,39.298613,-76.588713
195,2172,0.063,39.278597,-76.612597
196,2699,0.084,39.262606,-76.594092
197,1884,0.066,39.285828,-76.587738
198,1465,0.066,39.281463,-76.543251
199,6224,0.024,39.33083,-76.615101
200,4367,0.142,39.361978,-76.700295
201,3429,0.183,39.371757,-76.692445
202,1136,0.07,39.271472,-76.616054
203,6094,0.087,39.317586,-76.555579
204,1585,0.172,39.314243,-76.582164
205,2084,0.133,39.302431,-76.581122
206,1724,0.079,39.285933,-76.585017
207,2957,0.065,39.298123,-76.572631
208,2018,0.101,39.24118,-76.615756
209,1042,0.079,39.302109,-76.585356
210,2469,0.128,39.308802,-76.589176
211,3773,0.205,39.356633,-76.670817
212,1564,0.105,39.302288,-76.584784
213,2033,0.08,39.330217,-76.609463
214,3788,0.278,39.365661,-76.696585
215,3548,0.244,39.355487,-76.688676
216,3549,0.087,39.297298,-76.594363
217,1575,0.065,39.323026,-76.529686
218,3412,0.127,39.309053,-76.660008
219,1281,0.072,39.302451,-76.588095
220,4245,0.134,39.303248,-76.650752
221,4251,0.123,39.339815,-76.600218
222,2648,0.061,39.307407,-76.543331
223,2260,0.118,39.28212,-76.554798
224,5240,0.145,39.524901,-75.807031
225,4209,0.113,39.657436,-75.822581
226,4901,0.115,39.617641,-75.824071
227,5076,0.116,39.610667,-75.908049
228,3818,0.128,39.657362,-75.822413
229,5751,0.105,39.656194,-75.813316
230,5005,0.135,39.672593,-75.905419
231,5149,0.175,39.470829,-75.893914
232,6334,0.106,39.661653,-76.146591
233,6814,0.117,39.568748,-75.884969
234,5570,0.141,39.569845,-76.030564
235,4164,0.109,39.721019,-76.135461
236,4792,0.092,39.654154,-75.789017
237,8223,0.073,39.638763,-75.787756
238,3918,0.157,39.571769,-75.783653
239,8572,0.108,39.610734,-75.909108
240,7236,0.116,39.679144,-76.033472
241,3477,0.121,39.663246,-76.018034
242,2859,0.094,39.648779,-75.95566
243,3337,0.172,39.523041,-79.143943
244,4003,0.164,39.721417,-79.393569
245,3937,0.18,39.722068,-79.087456
246,6186,0.181,39.561842,-79.370317
247,2857,0.133,39.722738,-78.931205
248,5726,0.177,39.431013,-79.354779
249,4051,0.192,39.590371,-79.301709
250,1831,0.299,39.398455,-76.535322
251,1956,0.221,39.334101,-76.409775
252,5777,0.057,39.449457,-76.786395
253,5458,0.146,39.42016,-76.640838
254,2094,0.207,39.43187,-76.604573
255,2497,0.173,39.401367,-76.60224
256,1697,0.114,39.330033,-76.781155
257,1977,0.108,39.359658,-76.744875
258,4990,0.113,39.35631,-76.765653
259,3567,0.095,39.373613,-76.58445
260,3310,0.118,39.402055,-76.367173
261,3486,0.188,39.319894,-76.455165
262,2130,0.093,39.292697,-76.429361
263,1853,0.176,39.565655,-76.6783
264,5789,0.119,39.720947,-76.69755
265,5924,0.177,39.577643,-76.616651
266,4446,0.175,39.654168,-76.778082
267,3600,0.066,39.387291,-76.468475
268,5966,0.162,39.377579,-76.754877
269,2115,0.133,39.261154,-76.477889
270,3270,0.097,39.318916,-76.711028
271,4304,0.125,39.382184,-76.789256
272,4664,0.16,39.524597,-76.497542
273,4682,0.154,39.395425,-76.662733
274,4554,0.093,39.398361,-76.482885
275,5944,0.187,39.437964,-76.634528
276,2355,0.124,39.275437,-76.479558
277,1495,0.154,39.273725,-76.756428
278,3784,0.128,39.421554,-76.501527
279,3061,0.159,39.399561,-76.55356
280,2214,0.109,39.381082,-76.501657
281,6426,0.129,39.349155,-76.745665
282,2076,0.16,39.348305,-76.711294
283,5925,0.105,39.369247,-76.748364
284,5072,0.108,39.342498,-76.727296
285,1864,0.246,39.414268,-76.660654
286,1944,0.119,39.275429,-76.743566
287,3433,0.119,39.331446,-76.741737
288,2283,0.159,39.342,-76.725726
289,3798,0.116,39.366352,-76.758165
290,3593,0.194,39.342713,-76.727848
291,2443,0.135,39.367813,-76.726978
292,1795,0.145,39.287007,-76.711533
293,2409,0.237,39.271945,-76.73198
294,1953,0.134,39.472887,-76.836595
295,2682,0.15,39.521284,-76.754046
296,3629,0.214,39.341863,-76.384724
297,5733,0.058,39.306195,-76.44261
298,6477,0.071,39.478045,-76.77196
299,7920,0.049,39.421632,-76.761763
300,11137,0.372,39.382584,-76.500125
301,2853,0.183,39.487917,-76.610153
302,2462,0.297,39.347337,-76.722817
303,5014,0.106,39.412693,-76.770735
304,1862,0.182,39.384789,-76.412006
305,3623,0.214,39.278152,-76.487554
306,3331,0.111,39.389748,-76.582696
307,2445,0.234,39.419578,-76.638108
308,2486,0.203,39.378608,-76.519408
309,3721,0.084,39.341527,-76.514331
310,2261,0.167,39.478358,-76.420879
311,3505,0.108,39.259696,-76.5124
312,2071,0.183,39.281609,-76.528333
313,3910,0.095,39.326453,-76.435104
314,3657,0.149,39.261157,-76.476508
315,4393,0.199,39.427194,-76.445118
316,6040,0.199,39.399795,-76.464397
317,6676,0.111,39.453486,-76.797699
318,4859,0.194,39.320384,-76.515242
319,6819,0.229,39.402164,-76.728432
320,5586,0.325,39.428975,-76.592038
321,4177,0.118,39.379747,-76.820123
322,3239,0.112,39.38444,-76.803691
323,5282,0.072,39.419507,-76.478476
324,6017,0.138,39.37803,-76.755777
325,5966,0.049,39.459761,-76.608219
326,1770,0.131,39.391443,-76.565827
327,773,0.371,39.501675,-76.650539
328,2304,0.181,39.430047,-76.621477
329,3377,0.09,39.473529,-76.630866
330,3853,0.18,39.453545,-76.605335
331,4706,0.061,39.453805,-76.605601
332,1333,0.203,39.265487,-76.480226
333,3667,0.154,39.347936,-76.450326
334,2556,0.219,39.242259,-76.441388
335,6490,0.151,39.283538,-76.753457
336,2650,0.129,39.299117,-76.711249
337,962,0.179,39.316332,-76.72807
338,2789,0.083,39.281714,-76.715817
339,3076,0.156,39.354345,-76.711188
340,4524,0.122,39.366813,-76.793567
341,2863,0.247,39.411179,-76.667647
342,3435,0.1,39.336038,-76.491891
343,2837,0.08,39.356393,-76.486583
344,5915,0.05,39.296422,-76.458564
345,3110,0.119,39.380868,-76.557393
346,3760,0.225,39.446255,-76.607008
347,2273,0.113,39.378907,-76.471864
348,2570,0.093,39.387396,-76.606059
349,3891,0.081,39.302955,-76.711191
350,2705,0.114,39.272389,-76.48778
351,3575,0.163,39.292126,-76.520245
352,4750,0.076,39.333281,-76.369721
353,4032,0.171,39.30837,-76.420148
354,3505,0.166,39.238332,-76.455896
355,5459,0.109,39.346462,-76.385884
356,3947,0.176,39.352705,-76.454759
357,2759,0.192,39.361145,-76.369871
358,3593,0.168,39.300826,-76.491111
359,3530,0.144,39.255039,-76.690578
360,4039,0.235,39.305875,-76.744001
361,3345,0.118,39.393512,-76.590065
362,2120,0.099,39.376823,-76.608946
363,5846,0.149,39.307278,-76.753692
364,1927,0.589,39.407718,-76.618148
365,3084,0.125,39.305965,-76.505219
366,3741,0.199,39.313597,-76.433826
367,3441,0.151,39.438781,-76.884367
368,2418,0.135,39.234835,-76.742013
369,6487,0.107,39.302214,-76.716754
370,5182,0.021,39.394877,-76.603981
371,2445,0.167,39.231963,-76.416969
372,2947,0.227,39.453408,-76.657525
373,5557,0.093,39.244878,-76.648676
374,5129,0.074,39.321639,-76.744858
375,4523,0.037,39.320375,-76.758278
376,2871,0.104,39.277844,-76.711169
377,4351,0.586,39.267983,-76.689247
378,2525,0.074,39.272691,-76.699265
379,2463,0.178,39.240684,-76.713621
380,4221,0.054,39.246514,-76.640458
381,5074,0.077,39.265232,-76.684021
382,2852,0.143,39.248504,-76.644759
383,4165,0.227,39.401394,-76.588181
384,2241,0.129,39.374096,-76.585338
385,1662,0.189,39.291456,-76.428435
386,1792,0.174,39.40194,-76.568326
387,1371,0.079,39.341294,-76.762285
388,4812,0.157,39.477026,-76.82112
389,5311,0.093,39.433135,-76.796988
390,4150,0.096,39.433841,-76.81533
391,4407,0.13,39.257332,-76.66405
392,3185,0.121,39.259982,-76.509877
393,2347,0.169,39.255273,-76.522856
394,6414,0.093,39.254071,-76.481865
395,3513,0.145,39.269606,-76.503618
396,1839,0.139,39.256272,-76.506548
397,2253,0.235,39.383407,-76.611963
398,5961,0.15,39.27042,-76.721549
399,2823,0.194,39.424043,-76.597227
400,6984,0.134,39.41296,-76.600502
401,2241,0.131,39.3751,-76.545304
402,3790,0.128,39.38791,-76.558423
403,5200,0.061,39.382944,-76.570931
404,3205,0.198,39.507197,-76.459271
405,8541,0.092,39.404371,-76.779656
406,3623,0.066,39.389636,-76.812865
407,6380,0.1,39.399783,-76.802922
408,4442,0.266,39.379808,-76.716826
409,3336,0.365,39.368436,-76.727755
410,4677,0.348,39.494829,-76.667471
411,3494,0.09,39.447913,-76.685739
412,5497,0.124,39.721155,-76.569386
413,3267,0.146,39.631806,-76.672086
414,7950,0.151,39.414528,-76.410447
415,3546,0.15,39.386832,-76.441002
416,2798,0.138,39.237675,-76.631859
417,8935,0.157,39.610107,-77.647733
418,4516,0.239,39.629379,-77.837229
419,5195,0.106,39.663627,-77.53018
420,8006,0.122,39.517644,-77.701614
421,4289,0.16,39.287819,-76.505472
422,4162,0.234,39.422309,-76.537715
423,1851,0.183,39.255773,-76.523094
424,2973,0.137,39.280107,-76.505267
425,2444,0.241,39.267992,-76.499727
426,3770,0.252,39.460575,-76.456614
427,5489,0.052,39.340944,-76.411304
428,4960,0.104,39.446204,-76.813232
429,6532,0.04,39.320496,-76.759009
430,3847,0.059,39.340746,-76.448458
431,3955,0.107,39.32982,-76.43985
432,2896,0.127,39.50432,-77.73363
433,6152,0.145,39.7218,-77.847589
434,2506,0.181,39.60602,-77.75459
435,8188,0.133,39.605303,-77.729138
436,2189,0.097,39.651579,-77.712667
437,3466,0.131,39.63667,-77.72256
438,3625,0.065,39.64685,-77.73374
439,4941,0.158,39.62832,-77.73566
440,5033,0.148,39.72184,-77.876296
441,3447,0.176,39.72246,-78.05971
442,5701,0.186,39.57133,-77.6894
443,1388,0.097,39.719986,-77.469132
444,4423,0.175,39.719851,-77.50659
445,3104,0.293,39.631198,-77.701457
446,6164,0.013,39.568716,-77.708998
447,5926,0.18,39.614277,-77.659823
448,3415,0.152,39.669079,-77.734167
449,4135,0.148,39.312992,-76.448809
450,4180,0.129,39.403833,-76.528351
451,3493,0.2,39.388307,-76.530357
452,1443,0.152,39.396751,-76.548518
453,3668,0.261,39.402026,-76.568938
454,3945,0.149,39.393157,-76.542709
455,5455,0.093,39.385356,-76.469489
456,4803,0.131,39.414608,-76.510355
457,3807,0.008,39.262279,-76.709835
458,3506,0.096,39.424283,-76.511117
459,7454,0.176,39.720487,-77.674222
460,7675,0.132,39.720988,-77.733077
461,2410,0.165,39.64227,-77.693247
462,3158,0.153,39.63977,-77.71561
463,3168,0.129,39.661576,-77.701228
464,5500,0.077,39.651453,-77.688807
465,4200,0.148,39.65704,-77.61151
466,3974,0.168,39.66222,-77.70467
467,3520,0.232,39.411093,-76.630913
468,3289,0.125,39.245196,-76.507611
469,2712,0.14,39.279618,-76.7273
470,2162,0.223,39.333374,-76.495962
471,6696,0.079,39.352365,-76.465368
472,4451,0.16,39.384943,-76.523591
473,5009,0.117,39.238752,-76.691369
474,3450,0.073,39.398744,-76.480391
475,5486,0.139,39.341714,-76.51509
476,2742,0.094,39.65136,-77.72222
477,4024,0.154,39.606373,-77.754931
478,3909,0.132,39.612748,-77.573923
479,4958,0.18,39.372185,-76.682663
480,3131,0.335,39.395735,-76.663254
481,3743,0.103,39.441538,-76.80748
482,4745,0.15,39.448352,-76.723076
483,3443,0.177,39.327845,-76.469494
484,4047,0.191,39.302569,-76.527219
485,3164,0.184,39.350093,-76.49718
486,2369,0.214,39.309108,-76.468332
487,5178,0.141,39.370588,-76.446217
488,2045,0.141,39.367274,-76.767586
489,5133,0.081,39.375617,-76.651201
490,6029,0.138,39.625403,-76.565789
491,3043,0.181,39.462296,-76.391765
492,1738,0.151,39.441164,-76.714571
493,8671,0.108,38.455019,-75.558435
494,6110,0.151,38.379983,-75.67666
495,3800,0.136,38.553516,-75.701002
496,5630,0.121,38.369173,-75.573141
497,5065,0.128,38.384879,-75.327316
498,7143,0.12,38.452826,-75.444184
499,3226,0.184,38.342357,-75.547481
500,1897,0.124,38.383473,-75.587844
501,6150,0.146,38.369718,-75.537349
502,1323,0.073,38.376717,-75.60133
503,6142,0.157,38.409225,-75.594673
504,7795,0.129,38.409952,-75.643145
505,4095,0.123,38.364729,-75.595286
506,2961,0.078,38.36,-75.579532
507,6987,0.14,38.348012,-75.601151
508,8875,0.107,38.3586,-75.576429
509,4200,0.142,38.384802,-75.326707
510,4162,0.142,38.286471,-75.44932
511,4501,0.143,38.32691,-75.578073
